Bucket Name,Size (GB),Storage Classes,Lifecycle Rules
assistpay-dev,0.0,{'STANDARD': 1444001},No lifecycle rules
assistpay-hml,0.0,{'STANDARD': 1524081},No lifecycle rules
assistpay-prd,0.0,{'STANDARD': 141259},No lifecycle rules
aws-athena-query-results-268242713643-us-east-1,0.8,{'STANDARD': 854172085},"[{'ID': 'ciclo-3-dias', 'Filter': {}, 'Status': 'Enabled', 'NoncurrentVersionExpiration': {'NoncurrentDays': 1, 'NewerNoncurrentVersions': 1}}]"
aws-athena-query-results-us-east-1-268242713643,34.15,{'STANDARD': 36669186740},"[{'ID': 'ciclo-1-dia', 'Filter': {}, 'Status': 'Enabled', 'NoncurrentVersionExpiration': {'NoncurrentDays': 1, 'NewerNoncurrentVersions': 1}}]"
aws-cloudtrail-logs-268242713643-3330186f,0.0,{'STANDARD': 13429},No lifecycle rules
aws-glue-assets-268242713643-us-east-1,4.81,{'STANDARD': 5162330630},No lifecycle rules
aws-glue-scripts-268242713643-us-east-1,0.0,{'STANDARD': 122938},No lifecycle rules
aws-glue-temporary-268242713643-us-east-1,1.0,{'STANDARD': 1068545799},No lifecycle rules
aws-sam-cli-managed-default-samclisourcebucket-iq2ygknnuxnz,0.02,{'STANDARD': 18811894},No lifecycle rules
aws-waf-logs-sky-audit-ip-requests,0.06,{'STANDARD': 67106841},No lifecycle rules
bucket-teste-itapeva,0.24,{'STANDARD': 256219172},No lifecycle rules
builds-negocieonline,0.46,{'STANDARD': 497312437},No lifecycle rules
cdn-101.negocieonline.com.br,0.12,{'STANDARD': 132813348},No lifecycle rules
cedente-dev-101.negocieonline.com.br,0.08,{'STANDARD': 81566885},No lifecycle rules
cedente-hml-101.negocieonline.com.br,0.01,{'STANDARD': 14012075},No lifecycle rules
cedente-prd-101.negocieonline.com.br,0.01,{'STANDARD': 6803013},No lifecycle rules
cf-templates-15yd6t3pkru6t-us-east-1,0.0,{'STANDARD': 77243},No lifecycle rules
checklist-negocie,0.0,{'STANDARD': 106689},No lifecycle rules
cluster-velero-prd,0.0,{'STANDARD': 242428},No lifecycle rules
dispatcher-dev-101.negocieonline.com.br,0.01,{'STANDARD': 13850043},No lifecycle rules
dispatcher-hml-101.negocieonline.com.br,0.0,{'STANDARD': 2008310},No lifecycle rules
dispatcher-prd-101.negocieonline.com.br,0.0,{'STANDARD': 2672607},No lifecycle rules
gen-processos,0.0,{'STANDARD': 607691},No lifecycle rules
lb-neo-prd-101,0.0,{'STANDARD': 5477},No lifecycle rules
lcteste,0.0,{'STANDARD': 5788},"[{'Expiration': {'Days': 1}, 'ID': 'rule-mark-expired', 'Filter': {'Prefix': 'testendir1/testedir2/log/'}, 'Status': 'Enabled', 'NoncurrentVersionExpiration': {'NoncurrentDays': 1}, 'AbortIncompleteMultipartUpload': {'DaysAfterInitiation': 1}}, {'Expiration': {'ExpiredObjectDeleteMarker': True}, 'ID': 'rule-del-expired', 'Filter': {'Prefix': 'testendir1/testedir2/log/'}, 'Status': 'Enabled', 'AbortIncompleteMultipartUpload': {'DaysAfterInitiation': 1}}]"
market-place-hml,0.43,{'STANDARD': 466314545},No lifecycle rules
market-place-prd,1.07,{'STANDARD': 1151709996},No lifecycle rules
mktplace-dev-101.negocieonline.com.br,0.2,{'STANDARD': 212108033},No lifecycle rules
mktplace-hml-101.negocieonline.com.br,0.16,{'STANDARD': 173625969},No lifecycle rules
mktplace-prd-101.negocieonline.com.br,0.14,{'STANDARD': 145534575},No lifecycle rules
monitorianegocie,0.0,{'STANDARD': 2062},No lifecycle rules
negociaonline-gluescripts-dev,0,{},No lifecycle rules
negocie-accesstage,0.05,{'STANDARD': 53629439},No lifecycle rules
negocie-monitoria-ftp,0.04,{'STANDARD': 44133008},No lifecycle rules
negocie-online-publico,0,{},No lifecycle rules
negocieonline,0.5,{'STANDARD': 541517979},No lifecycle rules
negocieonline-assessment-report-prd,0,{},No lifecycle rules
negocieonline-assessment-report-prod,0.0,{'STANDARD': 41974},No lifecycle rules
negocieonline-backup-eks,0.01,{'STANDARD': 7887291},No lifecycle rules
negocieonline-datalake,12.61,{'STANDARD': 13541144431},No lifecycle rules
negocieonline-datalake-backup,1.6,{'STANDARD': 1721409546},No lifecycle rules
negocieonline-datalake-dev,89.98,{'STANDARD': 96613039856},No lifecycle rules
negocieonline-datalake-hml,0.95,{'STANDARD': 1024933982},No lifecycle rules
negocieonline-datalake-mkt,0.02,{'STANDARD': 26174474},No lifecycle rules
negocieonline-datalake-scripts,0.09,{'STANDARD': 94712571},No lifecycle rules
negocieonline-db,45.93,"{'DEEP_ARCHIVE': 39978564975, 'STANDARD': 9339382734}",No lifecycle rules
negocieonline-dl,0.16,{'STANDARD': 173169262},No lifecycle rules
negocieonline-glue-code-prd,0.0,{'STANDARD': 589499},No lifecycle rules
negocieonline-glue-temp-prd,0.44,{'STANDARD': 470025755},No lifecycle rules
negocieonline-logs,0.87,{'STANDARD': 931480352},No lifecycle rules
negocieonline-s3-backup-quarentena,1.24,{'STANDARD': 1326861771},No lifecycle rules
neo-hml,6.85,{'STANDARD': 7358258444},No lifecycle rules
neo-portal,0.04,{'STANDARD': 40196436},No lifecycle rules
neo-prd,22.72,{'STANDARD': 24399663506},No lifecycle rules
neoenergia-datalake,0.0,{'STANDARD': 1471937},No lifecycle rules
neoenergia-dev-01.negocieonline.com.br,0.09,{'STANDARD': 98497711},No lifecycle rules
neoenergia-dev-101.negocieonline.com.br,0.2,{'STANDARD': 209681305},No lifecycle rules
neoenergia-dev-102.negocieonline.com.br,0.01,{'STANDARD': 6129240},No lifecycle rules
neoenergia-hml-01.negocieonline.com.br,0.07,{'STANDARD': 77158695},No lifecycle rules
neoenergia-hml-101.negocieonline.com.br,0.17,{'STANDARD': 179641445},No lifecycle rules
neoenergia-prd-102.negocieonline.com.br,0.14,{'STANDARD': 154311779},No lifecycle rules
neoenergia-processos,0.26,{'STANDARD': 274108632},No lifecycle rules
neoenergia.negocieonline.com.br,0.08,{'STANDARD': 87115447},No lifecycle rules
no-finops-noops-nops-268242713643,1.19,{'STANDARD': 1280353082},No lifecycle rules
no-mailing-dev,49.51,"{'STANDARD': 53156410817, 'DEEP_ARCHIVE': 466611}",No lifecycle rules
no-mailing-hml,0.0,{'STANDARD': 9152},No lifecycle rules
no-mailing-prd,0.0,{'STANDARD': 1586394},No lifecycle rules
no-mktplace-quod,0.25,{'STANDARD': 272992768},No lifecycle rules
no-novo-importador,60.12,{'STANDARD': 64558539923},No lifecycle rules
no-semparar,0.0,{'STANDARD': 248091},No lifecycle rules
painel-hml-101.negocieonline.com.br,0.01,{'STANDARD': 6454445},No lifecycle rules
painel-prd-101.negocieonline.com.br,0,{},No lifecycle rules
poclex.negocieonline.com.br,0.0,{'STANDARD': 4391},No lifecycle rules
projetox,0.0,{'STANDARD': 1512908},No lifecycle rules
projetox-importador,0.03,{'STANDARD': 28903057},No lifecycle rules
quarentena-negocie-online,0,{},No lifecycle rules
sacado-dev-101.negocieonline.com.br,0.09,{'STANDARD': 93013092},No lifecycle rules
sacado-hml-101.negocieonline.com.br,0.04,{'STANDARD': 46737197},No lifecycle rules
sacado-prd-101.negocieonline.com.br,0.01,{'STANDARD': 6216097},No lifecycle rules
sky-contactibilidade.negocieonline.com.br,0.0,{'STANDARD': 18935},No lifecycle rules
sky-dev-101.negocieonline.com.br,0.38,{'STANDARD': 403157282},No lifecycle rules
sky-dev-102.negocieonline.com.br,0.32,{'STANDARD': 339839357},No lifecycle rules
sky-hml,2.26,{'STANDARD': 2426421203},No lifecycle rules
sky-hml-101.negocieonline.com.br,0.25,{'STANDARD': 266555723},No lifecycle rules
sky-hml-103.negocieonline.com.br,0.09,{'STANDARD': 95876014},No lifecycle rules
sky-prd,0.06,"{'STANDARD': 61922795, 'DEEP_ARCHIVE': 603969}","[{'Expiration': {'Days': 1}, 'ID': 'Limpa-Logs-Sky-Prd', 'Filter': {'Prefix': 'AWS-logs-queries-scripts-temps/logs/'}, 'Status': 'Enabled', 'NoncurrentVersionExpiration': {'NoncurrentDays': 1}, 'AbortIncompleteMultipartUpload': {'DaysAfterInitiation': 1}}, {'Expiration': {'ExpiredObjectDeleteMarker': True}, 'ID': 'Delete-logs-expired-sky-prd', 'Filter': {'Prefix': 'AWS-logs-queries-scripts-temps/logs/'}, 'Status': 'Enabled', 'AbortIncompleteMultipartUpload': {'DaysAfterInitiation': 1}}, {'Expiration': {'Days': 1}, 'ID': 'Limpa-stage-Sky-Prd', 'Filter': {'Prefix': 'AWS-logs-queries-scripts-temps/stage/'}, 'Status': 'Enabled', 'NoncurrentVersionExpiration': {'NoncurrentDays': 1}, 'AbortIncompleteMultipartUpload': {'DaysAfterInitiation': 1}}, {'ID': 'Queries-to-glacier-deep-30', 'Filter': {'Prefix': 'sky-prd AWS-logs-queries-scripts-temps/queries/'}, 'Status': 'Disabled', 'Transitions': [{'Days': 30, 'StorageClass': 'DEEP_ARCHIVE'}]}]"
sky-prd-101.negocieonline.com.br,0.18,{'STANDARD': 196100762},No lifecycle rules
sky-prd-102.negocieonline.com.br,0.1,{'STANDARD': 102881248},No lifecycle rules
sky-prd-103.negocieonline.com.br,0,{},No lifecycle rules
sky-processos,1.75,{'STANDARD': 1873829576},No lifecycle rules
